input,response
"""Wanda: Let's make a party!
Gina: Why?
Wanda: beacuse. I want some fun!
Gina: ok, what do u need?
Wanda: 1st I need too make a list
Gina: noted and then?
Wanda: well, could u take yours father car and go do groceries with me?
Gina: don't know if he'll agree
Wanda: I know, but u can ask :)
Gina: I'll try but theres no promisess
Wanda: I know, u r the best!
Gina: When u wanna go
Wanda: Friday?
Gina: ok, I'll ask""","Wanda suggests having a party because she wants to have fun. Gina asks what is needed, and Wanda mentions making a list and getting groceries. Wanda asks Gina to use her father's car for the grocery trip, and Gina agrees to ask her father, though she can't promise. They tentatively plan to go on Friday."
"""Martin: I won two cinema tickets!
Aggie: oh cool, how come?
Martin: online. on fb, the movie mag organized it
Aggie: so what did you do
Martin: just write a short review and that's it
Aggie: well done :) so what and when. and where?
Martin: the new film with Redford
Aggie: i guess i heard sth
Martin: it's pretty cool i heard. till the end of the week
Aggie: sounds good. we'll find time XD""","Martin tells Aggie he won two cinema tickets by writing a short review in an online Facebook contest organized by a movie magazine. He mentions the tickets are for a new film featuring Redford that they can use until the end of the week. Aggie responds positively, indicating they will find time to go."
"""Charlee: I'm in class. Theatre in Portuguese lol
Curtis: Realllly?
Charlee: Yes. One of my subjects at the university that I attend is portuguese theatre. We are preparing a performance
Curtis: What performance is this? Are you devising it?
Charlee: A polish one translated into portuguese
Curtis: Thats quite cool. Who is the writer?
Charlee: Mrożek""","Charlee tells Curtis that they are in a Portuguese theatre class at university, preparing a performance of a Polish play by Mrożek, translated into Portuguese. Curtis finds it cool and asks if they are devising the performance."
"""Mary: Are you going by car or train?
Tom: Ella rented a car
Ella: this makes all of this much faster
Mary: good decision""","Tom and Ella are traveling by car, and Mary approves of the decision, noting it makes the journey faster."
"""Luke: are you still looking for someone to join netflix family?
Paul: yes, 1 person :)
Luke: i am the one!
Paul: sure, i will send you the login and password on sunday
Luke: ok we can talk tomorrow
Paul: i don't really remember it now
Luke: send me also the bank account details so I can wire you the money every month. Are you paying for this or someone else?
Paul: I do, and I keep track of everyone accessing so you should not expect any bans :D
Luke: easy mate :D you still on holidays with your girl?
Paul: last dinner :( tomorrow we are out
Luke: how long have you been there?
Paul: less than 8 days :/""","Luke asks Paul if he's still looking for someone to join his Netflix family. Paul confirms he needs one person. Luke volunteers, and Paul agrees to send the login details on Sunday. They discuss payment arrangements, with Paul maintaining control to avoid bans. Paul mentions he is on the last night of his holiday, which has lasted less than 8 days."
"""Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I'm sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can't?
Greg: Betsy?
Betsy: What if I can't?
Greg: Can't you, really?
Betsy: I can't. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I'll see what I can do.
Betsy: You'd better think of something.
Greg: Oh. Just stop it now.""","Greg informs Betsy he needs to work late. Betsy expresses frustration and concern about picking up their child, Johnny, as she also has to work late. Greg reluctantly agrees to find a solution, while Betsy is firm that it's his responsibility. The dialogue ends with Greg telling Betsy to stop arguing."
"""Ethan: somethin for Scott <file_photo>
Toby: haha, totally
Marshall: pretty much sums it up
Scott: you know you're exactly fuckin the same
Toby: oh we know honey bunny
Marshall: we just enjoy making fun of YOU
Ethan: xD
Scott: oh fuck y'all
Toby: <file_gif>""","Ethan sends a photo to mock Scott. Toby and Marshall agree and tease Scott. Scott points out they're the same, and Toby acknowledges it, stating they just enjoy teasing Scott. Ethan laughs, and Scott responds with ""fuck y'all"". Toby reacts with a GIF."
"""Igor: Shit, I've got so much to do at work and I'm so demotivated. 
John: It's pretty irresponsible to give that much work to someone on their notice period.
Igor: Yeah, exactly! Should I even care?
John: It's up to you, but you know what they say...
Igor: What do you mean?
John: Well, they say how you end things shows how you really are...
Igor: And now how you start, right?
John: Gotcha! 
Igor: So what shall I do then? 
John: It's only two weeks left, so grit your teeth and do what you have to do. 
Igor: Easy to say, hard to perform.
John: Come on, stop thinking, start doing! 
Igor: That's so typical of you!  ;)  ""","Igor is overwhelmed with work and feeling demotivated, especially since he's on his notice period. John suggests that although it's unfair, finishing strong reflects one's character. They conclude that Igor should persevere and complete his tasks despite the difficult situation."
"""Clara: Hi, what you up to?
Neela: Not much, chilling out.
Clara: Just rewatching Dear White People on Netflix, love it!😍
Neela: Oh yeah, heard of it, but not seen it yet? Any good?
Clara: Well, yes! I just said it was, LOL. It's about a fictional Ivy League University and the students in one House of Residence.
Neela: Why is it called Dear White People?
Clara: That's the name of the radio show the main character, Sam, presents on college radio.
Neela: Yeah, but why is it so good?
Clara: Well, it's mainly stories from the perspective of black students there, which I find very interesting. The characters are strong and likeable too.
Neela: I suppose it's rather different from the UK, then?
Clara: It seems so, as there is a lot more racial awareness and discrimination there than here. It all kicks off when there is a Blackface party held by an elite group of white students, which gets out of hand.
Neela: How's that?
Clara: Well, obviously, the black students try to break it up and there's also an incident where one guy, Reggie, gets a loaded gun pointed at him by a campus policeman after he gets into an argument with a white student. It may be at another party, though, I'm not sure of that.
Neela: Oh, that sounds pretty strong stuff. What else happens?
Clara: Well, there is a young black guy called Lionel who is coming to terms with being gay and is finding his voice as a journalist. He unearths corruption at the uni and he and Sam also uncover some conspiracy theory stuff about secret societies.
Neela: Well, I must say, it does sound good, I'll check it out soon!
Clara: Definitely, there is supposed to be a Series 3 coming up next year, really looking forward to it!
Neela: Well, thanks Clara, I'm just watching the rest of a movie and I'll try Dear White People.
Clara: Don't blame me if you get hooked and stay up till 4!
Neela: See ya, love!
Clara: Bye!""","Clara and Neela are chatting casually. Clara is rewatching ""Dear White People"" on Netflix and recommends it to Neela, who hasn't seen it yet. Clara explains the show's premise at a fictional Ivy League University, focusing on the experiences of black students. She highlights key plot points, such as a blackface party incident and a confrontation involving a campus policeman and a black student. Clara also mentions character arcs, like Lionel coming to terms with being gay and uncovering university corruption. Neela seems interested and plans to watch the show. The conversation ends on a friendly note."
"""Ernest: hey Mike, did you park your car on our street?
Mike: no, took it into garage today
Ernest: ok good
Mike: why?
Ernest: someone just crashed into a red honda looking just like yours
Mike: lol lucky me""","Ernest asks Mike if he parked his car on their street. Mike says no, he took it to the garage. Ernest informs him that someone crashed into a red Honda that looks like his. Mike responds that he's lucky."
"""Deirdre: Hi Beth, how are you love?
Beth: Hi Auntie Deirdre, I'm been meaning to message you, had a favour to ask.
Deirdre: Wondered if you had any thought about your Mum's 40th, we've got to do something special!
Beth: How about a girls weekend, just mum, me, you and the girls, Kira will have to come back from Uni, of course.
Deirdre: Sounds fab! Get your thinking cap on, it's only in 6 weeks! Bet she's dreading it, I remember doing that!
Beth: Oh yeah, we had a surprise party for you, you nearly had a heart attack! 
Deirdre: Well, it was a lovely surprise! Gosh, thats nearly 4 years ago now, time flies! What was the favour, darling?
Beth: Oh, it was just that I fancied trying a bit of work experience in the salon, auntie.
Deirdre: Well, I am looking for Saturday girls, are you sure about it? you could do well in the exams and go on to college or 6th form.
Beth: I know, but it's not for me, auntie, I am doing all foundation papers and I'm struggling with those.
Deirdre: What about a tutor? Kira could help you in the hols.
Beth: Maybe, but I'd like to try working. I'm 16 soon, I'm old enough.
Deirdre: I know. Look, pop in tomorrow after school and we'll have a cuppa and a chat.
Beth: Yes, thanks auntie. I'd really like to try the beauty therapy side.
Deirdre: Its not for the squeamish, mind. Massage, pedicures, not to mention waxing!
Beth: Oh yes, I was chatting to a friend about it yesterday!
Deirdre: Maxine manages the beauty side, you can meet her tomorrow and we'll see how it goes.
Beth: Yes, I'd really like that. 
Deirdre: We can try a few hours on a Saturday for a couple of weeks as work experience. I'll give you a tenner or so per session to start off for your lunch, coffee and bus fare etc. If you like, we'll take it from there.
Beth: OK, I like the sound of it! See you tomorrow Auntie! Love you!
Deirdre: Bye, lovely girl! Xx""",Beth asks her Aunt Deirdre for work experience at her salon. Deirdre happily agrees and suggests they discuss the details further the next day over tea. They also briefly discuss plans for Beth's mother's 40th birthday.
"""Gloria: This exam is a bit of a lottery in fact
Gloria: You can't really get prepared, it's all about experience
Emma: But there are some rules and some typical texts right?
Gloria: You can see some texts from previous years
Gloria: <file_other>
Emma: Wow that's very useful
Emma: I have never seen this site
Gloria: Yes it's very good
Gloria: Actually it's good to read all the texts because you will see that some phrases repeat very often
Emma: How much time do you have for all 4 parts?
Gloria: 4 hours
Emma: Is it enough?
Gloria: Well it has to be
Gloria: Would be perfect to have 2 more hours... But on the other hand it would be really exhausting
Emma: 4 hours and no breaks?
Gloria: No breaks :/ So it's really important to be really focused and try to write as fast as you can
Gloria: And read it carefully and correct during the last hour
Emma: I'm going to read everything from that website, it's great""","Gloria and Emma discuss an exam, with Gloria mentioning it relies heavily on experience rather than preparation. Emma notes the presence of rules and typical texts, to which Gloria agrees and provides a useful website with past texts. They discuss the exam's duration of four hours without breaks and emphasize the importance of focus and time management. Emma finds the website very helpful and plans to read everything on it."
"""Adam: Have you talked to May?
Karen: Yes, yesterday, why?
Adam: I just talked to her and I must admit I worry about her
Karen: Me too, I suggested she should see a specialist, but she wasn't very happy about it
Adam: No wonder...
Karen: I know, but I think this is serious. She's saying she's depressed, like everyone around, but in her case it may be true
Adam: She was telling me she doesn't feel like doing anything, she's bored all the time, she never feels happy. It sounds like a real, typical depression
Adam: She also told me that she has trouble sleeping. I asked her to go out for a beer or anything basically, but she doesn't want to leave the flat
Karen: Oh my, it sounds really serious. I don't what to tell you
Adam: I was wondering how I can help her
Karen: Honestly I don't know if we can help her, Adam. I suggested a specialist because these are very sensitive issues and I'm afraid we may unintentionally make it worse
Adam: Yes, but she doesn't want to see a specialist. Basically, she doesn't want to see anyone
Karen: Hm... I don't know... How about I call someone for advice? So we could know what to do
Adam: Sounds rational, do you know anyone you could call? Don't mention her name
Karen: Of course I won't! I have a friend who's a psychologist, we can trust her. I'll let you know
Adam: Thank you Karen!""","Adam and Karen discuss their concern for May, who has described symptoms of depression including lack of interest, boredom, unhappiness, and trouble sleeping. Karen had previously suggested that May see a specialist, but May was not receptive to the idea. Adam and Karen deliberate on how to help her, with Karen deciding to seek advice from a psychologist friend without revealing May's identity."
"""Anne: You were right, he was lying to me :/
Irene: Oh no, what happened?
Jane: who? that Mark guy?
Anne: yeah, he told me he's 30, today I saw his passport - he's 40
Irene: You sure it's so important?
Anne: he lied to me Irene""","Anne discovered that Mark lied about his age, claiming to be 30 when he's actually 40, which upsets her. Irene questions the importance of the lie, but Anne feels betrayed by the dishonesty."
"""Augustine: Guys, remember it's Wharton's bday next week?
Darlene: yay, a party!
Heather: yay! crap we need to buy him a present
Walker: he mentioned paper shredder once
Augustine: wtf?!?
Walker: he did really. for no reason at all.
Heather: whatever that make him happy
Darlene: cool with me. we can shred some papers at the party 
Augustine: so much fun
Heather: srsly guys, you mean we should really get office equipment???
Darlene: Walk, ask him if he really wnts it and if he yes then we get it
Walker: i heard him say that. wasn;t drunk. me neither.
Darlene: but better ask him twice
Walker: will do
Augustine: 2moro ok?
Darlene: and sure ask ab the party!""","Augustine reminds the group about Wharton's upcoming birthday. Darlene and Heather are excited about the party, but Heather realizes they need a present. Walker suggests a paper shredder, mentioning Wharton once expressed wanting one. The group is skeptical but agrees to get the shredder if Wharton confirms he wants it. Darlene suggests Walker should double-check with Wharton and also confirm details about the party."
"""Ollie: Okay, Kelly! Ur up nxt!
Kelly: Me? I don't wanna.
Mickey: C'mon!
Jessica: Yeah! What's yours?
Kelly: Fine. It's a sculpture garden in Finnland.
Ollie: What's scary about sculptures? Wait! Do they resemble vampires and stuff?
Mickey: Nah, I'm sure they look rly nice.
Kelly: It's not the sculptures, it's the amount of them and their faces!
Jessica: Faces? What faces?
Kelly: Well, they resemble ppl in different activities like hugging, training, doing sport and so on. But the faces are just morbid and there's like a hundred of them. All staring at you!
Ollie: Another one?
Mickey: Certainly!
Jessica: Well, Ollie, ur turn!
Ollie: Nagoro village in Japan!
Mickey: Y?
Ollie: Well, maybe it's not scary, but it similar to Kelly's place. It's just creepy as hell.
Jessica: Bt y?
Ollie: Imagine a village with ppl living in it. And in the same village u have these human-sized figures. And there's more of them than the ppl that actually live there!
Kelly: Creepy AH!
Mickey: WTF?! Y would ppl even do that?
Jessica: Idk. Idc. Never. Going. There.
Ollie: See! Mine was the worst!
Jessica: Bt not the scariest!
Ollie: Point taken.
Mickey: Listen, guys, fun talking to u, bt gotta go. 
Kelly: Yeah, me too. Bye!
Jessica: Bye!
Ollie: Cu!""","In the dialogue, friends are taking turns sharing creepy places. Kelly describes a sculpture garden in Finland with morbid faces that seems eerie due to the number of sculptures. Ollie then talks about Nagoro village in Japan, where human-sized figures outnumber actual residents, creating a creepy atmosphere. The conversation ends with everyone agreeing the places are unsettling, before they all say goodbye."
"""Myah: <file_photo>
Selah: I can't see the phone number very well. Rewrite it plz
Myah: <file_photo>
Selah: The phone of that person is off""","Myah shares a photo twice, and Selah asks her to rewrite the phone number because it's not clear, then informs that the person's phone is off."
"""Eric: Hey Bella, What happened today in boss's room?? Was he angry??
Bella: NO NO!!! He wasn't angry at all.. He actually appreciated on our brave deccision to dismiss the request of client..
Eric: REALLY!! He appreciated this decision..
Bella: Yeah he really did.. I too was astounded by his reaction...
Eric: What could possibly lead to this?? I mean , they were potential clients...
Bella: What he told me was that he was looking forward to bring in new clients which were our current client's competitor..
Eric: Oh that could possibly be the reason.Well anyways you got appreciation xD congo	
Bella: hahaha Blessing in disguise xD""","Eric and Bella discuss a surprising event where their boss appreciated their decision to dismiss a client's request. Despite expecting anger, they learn the boss is pleased because he plans to attract new clients who are competitors of the current client. They are both pleasantly surprised by the positive outcome, seeing it as a blessing in disguise."
"""Ben: Where are you?
Emma: at the rare of the bus
Ben: why?
Emma: there are some free seats here
Emma: so I can have a nap even
Ben: good idea
Emma: when are we going to arrive to NY?
Ben: around 4.30 PM
Emma: if traffic is not crazy
Ben: right, we will see
Emma: could you come here and wake me up around 4.15?
Ben: sure
Emma: thanks!
Ben: sleep well
Emma: I'll try""","Emma is sitting at the back of the bus because there are free seats, which allows her to nap. They discuss their arrival time in New York, approximately 4:30 PM depending on traffic. Emma asks Ben to wake her up around 4:15 PM, and he agrees. They exchange well wishes for her nap."
"""Jesse: I have an idea that'll cheer u up!
Melvin: What is it?
Jesse: I was thinking about doing something 4 the less fortunate this year. 
Lee: Gr8 idea! Anything in mind?
Maxine: So no presents 4 me? :(
Jesse: U'll get ur presents, no worries ;)
Maxine: Phew! Was getting a bit worried for a moment ;)
Melvin: Bt what do u have in store?
Jesse: Well, have u heard about the Refuge?
Lee: No. What's that?
Melvin: That's the Christmas foundation to help women and children?
Maxine: I think I've heard of them. So what about them?
Jesse: That's right! They help women and children who escape from abuse. And every year they post wish lists of such ppl online and I thought that we could choose one and chip in. 
Melvin: That's a great idea!
Lee: Count me in!
Maxine: Me too.
Jesse: Have a look at these 3 lists: <file_other> <file_other> <file_other>
Lee: I think the second one would be the easiest to arrange.
Maxine: Agree.
Melvin: What about number 3? A bit ambitious, but if we pull together, we'll manage.
Jesse: Actually, I'm in for the 3rd one.
Maxine: I think the 2nd list would be better. The items cos more or less the same and we can easily divide it.
Melvin: But if we agree to chip in the same amount of money, we can deal with the 3rd one easily. 
Lee: Come to think of it, the 3rd one is not that bad. A bit of planning and logistics and were good to go. 
Jesse: So it's settled?
Melvin: Yup.
Lee: Sure. 
Maxine: Fine.""","Jesse suggests doing something for the less fortunate by supporting a foundation that helps women and children escaping abuse. He proposes they choose from three wish lists posted online by the foundation. After discussing, they agree to go with the third, more ambitious list, as they believe they can manage it with proper planning and coordination."
"""Mary: hey, im kinda broke, lend me a few box
Carter: okay, give me an hour, im at the train station
Mary: cool, thanks""",Mary asks Carter to lend her some money because she's broke. Carter agrees but asks for an hour since he is currently at the train station. Mary thanks him.
"""Charlotte: Hello Paula, a funny question: how do you pronounce 'Natal lily', the name of the plant? It refers to the region of ZA and not to the word 'natal' as in 'his natal day', right?
Paula: Hi Charlotte, 'nu tell', 'nu' as in 'number'.
Charlotte: And the stress on the second syllable? Or the first?
Paula: 2nd
Charlotte: Thank you dear.
Paula: <file_other>
Charlotte: Lovely to hear your voice!!
Paula: :$
Paula: <file_other>
Charlotte: :X""","Charlotte asks Paula how to pronounce ""Natal lily."" Paula clarifies it is pronounced ""nu tell"" with stress on the second syllable. They exchange pleasantries afterwards."
"""Jack: Cocktails later?
May: YES!!!
May: You read my mind...
Jack: Possibly a little tightly strung today?
May: Sigh... without question.
Jack: Thought so.
May: A little drink will help!
Jack: Maybe two!""","Jack suggests having cocktails later, and May enthusiastically agrees, feeling stressed. Jack empathizes and suggests that a couple of drinks might help."
"""Margaret: Honey, buy me some painkiller.
Jack: What is going on?
Margaret: Terrible headache!
Jack: Maybe you should rest!""","Margaret asks Jack to buy her painkillers due to a terrible headache, and Jack suggests she should rest."
"""Andrei: hey, did you pick up the film equipment for tonite's shooting?
Serge: no, im on my way there now.
Andrei: cool. do you happen to have your credit card with you? we have an outstanding bill to pay with the company.
Serge: yeah, i do. not a lot of available credit on it, but we'll see when we get there.
Andrei: OK, thanks. theyll be glad when we pay it. its long overdue.
Serge: ill let you know if it works out. getting of the metro now
Andrei: ok""","Andrei asks Serge if he picked up the film equipment, and Serge says he is on his way. Andrei then inquires if Serge has his credit card to pay an overdue bill. Serge confirms, noting limited available credit. He will update Andrei if the payment works out as he gets off the metro."
"""Janice: my son has been asking me to get him a hamster for his birthday
Janice: should i?
Martina: NO! NO! NO! NO! NO!
Martina: i got one for my son and it stank up the whole house
Martina: so don't do it!!!""","Janice is considering getting a hamster for her son's birthday, but Martina strongly advises against it, citing a bad experience with the odor of her own son's hamster."
"""Daniel: have you guys played DA?
Mary: which one?
Daniel: Inquisition
Mary: damn yes
Mary: love it to bits - team Dorian <3
Lucas: is it any good? I played just DA II
Mary: is it any good?! it's fucking brilliant!!!
Mary: Dan, are you playing?
Daniel: just started and I'm not sure, trying to get used to the mechanics
Mary: you have to give it a go, I was sceptical at first, but... omg, wait for Dorian
Lucas: Is it better than 2?
Mary: oh yes""","In the dialogue, Daniel asks if others have played ""Dragon Age: Inquisition."" Mary enthusiastically confirms, saying she loves it and supports the character Dorian. Lucas, who has only played ""Dragon Age II,"" asks if it's good. Mary emphatically responds that it's brilliant. Daniel mentions he's just started playing and is adjusting to the mechanics. Mary encourages him, stating she was initially skeptical but ended up loving it. Lucas then asks if ""Inquisition"" is better than ""Dragon Age II,"" and Mary confirms that it is."
"""Judy: Why am I always attracted to jerks??
Janice: It didn’t work out with Andrew?
Judy: He just wanted to fuck me
Judy: When he got what he wanted he stopped calling and texting.
Janice: And Bruce? He’s not a jerk.
Judy: He’s sweet. Maybe too sweet for me…
Judy: He’s a lovely and caring guy but I don’t feel the butterflies… ""","Judy expresses frustration over being attracted to jerks, mentioning that Andrew lost interest after being intimate with her. Janice notes Bruce isn't a jerk, but Judy admits she finds Bruce too sweet and, despite his kindness, lacks romantic excitement with him."
"""Riley: Chloe is on tv!!
James: on which channel?
James: never mind i've found it
James: what is she doing? i don't get it
Riley: this is a programme in which women undergo a complete metamorphosis.
Riley: OMG she looks drop dead gorgeous!""","Riley informs James that Chloe is on TV. James asks which channel, but quickly finds it himself. He expresses confusion about what Chloe is doing. Riley explains it's a show where women undergo transformations, and then exclaims that Chloe looks stunning."
